inserts_amount,data_bytes,time_ms,dbms,,,,,
1,127,4.642000079,postgres,,,,,
1,127,4.761000037,postgres,,,,,
1,127,4.754999995,postgres,,,,,
1,127,4.79369998,postgres,,,,,
1,127,5.150099993,postgres,,,,,
1,127,5.258700013,postgres,,,,,
1,127,4.897400022,postgres,,,,,
1,127,4.875800014,postgres,,,,,
1,127,5.594400048,postgres,,,,,
1,127,4.509199977,postgres,,,,,
1,127,4.368899941,postgres,,,,,
1,127,4.974300027,postgres,,,,,
1,127,5.712100029,postgres,,,,,
1,127,5.053900003,postgres,,,,,
1,127,4.957699895,postgres,,,,,
1,127,4.80250001,postgres,,,,,
1,127,4.624500036,postgres,,,,,
1,127,4.581900001,postgres,,,,,
1,127,5.005300045,postgres,,,,,
1,127,5.008000016,postgres,,,,,
1,127,4.846400023,postgres,,,,,
1,127,5.078199983,postgres,,,,,
1,127,5.421900034,postgres,,,,,
1,127,5.509000063,postgres,,,,,
1,127,5.042299986,postgres,,,,,
1,127,4.989599943,postgres,,,,,
1,127,4.904500008,postgres,,,,,
1,127,5.060299993,postgres,,,,,
1,127,5.037500024,postgres,,,,,
1,127,4.696999907,postgres,,,,,
1,127,5.00940001,postgres,,,,,
1,127,5.487999916,postgres,,,,,
1,127,4.876299977,postgres,,,,,
1,127,4.930999994,postgres,,,,,
1,127,5.194200039,postgres,,,,,
1,127,5.11439991,postgres,,,,,
1,127,4.497600079,postgres,,,,,
1,127,4.520699978,postgres,,,,,
1,127,5.045399904,postgres,,,,,
1,127,4.80340004,postgres,,,,,
1,127,5.030900002,postgres,,,,,
1,127,4.935000062,postgres,,,,,
1,127,5.326400042,postgres,,,,,
1,127,5.539299965,postgres,,,,,
1,127,4.975600004,postgres,,,,,
1,127,5.316300035,postgres,,,,,
1,127,5.37440002,postgres,,,,,
1,127,5.01849997,postgres,,,,,
1,127,4.377299905,postgres,,,,,
1,127,4.825699925,postgres,,,,,
1,127,5.846400023,postgres,,,,,
1,127,5.409999967,postgres,,,,,
1,127,5.301699996,postgres,,,,,
1,127,8.72939992,postgres,,,,,
1,127,5.301599979,postgres,,,,,
1,127,5.182399988,postgres,,,,,
1,127,5.074499965,postgres,,,,,
1,127,5.651199937,postgres,,,,,
1,127,4.685400009,postgres,,,,,
1,127,5.213199973,postgres,,,,,
1,127,5.145499945,postgres,,,,,
1,127,6.178299904,postgres,,,,,
1,127,4.687700033,postgres,,,,,
1,127,4.915099978,postgres,,,,,
1,127,5.557399988,postgres,,,,,
1,127,36.68330002,postgres,,,,,
1,127,5.918799996,postgres,,,,,
1,127,4.796700001,postgres,,,,,
1,127,4.686300039,postgres,,,,,
1,127,5.127599955,postgres,,,,,
1,127,5.089100003,postgres,,,,,
1,127,4.708999991,postgres,,,,,
1,127,5.186500072,postgres,,,,,
1,127,5.439200044,postgres,,,,,
1,127,5.509000063,postgres,,,,,
1,127,4.559200048,postgres,,,,,
1,127,5.090699911,postgres,,,,,
1,127,6.095499992,postgres,,,,,
1,127,4.837299943,postgres,,,,,
1,127,4.982300043,postgres,,,,,
1,127,4.999900103,postgres,,,,,
1,127,5.422000051,postgres,,,,,
1,127,4.403600097,postgres,,,,,
1,127,4.899500012,postgres,,,,,
1,127,4.849799991,postgres,,,,,
1,127,5.602100015,postgres,,,,,
1,127,5.364400029,postgres,,,,,
1,127,5.231200099,postgres,,,,,
1,127,5.339699984,postgres,,,,,
1,127,6.684000015,postgres,,,,,
1,127,5.687299967,postgres,,,,,
1,127,5.027999997,postgres,,,,,
1,127,6.176099896,postgres,,,,,
1,127,5.012699962,postgres,,,,,
1,127,4.848699927,postgres,,,,,
1,127,5.369500041,postgres,,,,,
1,127,5.067999959,postgres,,,,,
1,127,4.786000013,postgres,,,,,
1,127,4.781599998,postgres,,,,,
1,127,4.84589994,postgres,,,,,
1,127,4.82949996,postgres,,,,,
1,127,4.808699965,postgres,,,,,
1,127,5.635800004,postgres,,,,,
1,127,5.404500008,postgres,,,,,
1,127,5.604900002,postgres,,,,,
1,127,4.985400081,postgres,,,,,
1,127,5.012700081,postgres,,,,,
1,127,4.572999954,postgres,,,,,
1,127,5.143599987,postgres,,,,,
1,127,4.915899992,postgres,,,,,
1,127,5.060600042,postgres,,,,,
1,127,5.162699938,postgres,,,,,
1,127,4.684000015,postgres,,,,,
1,127,4.676400065,postgres,,,,,
1,127,5.057000041,postgres,,,,,
1,127,5.190799952,postgres,,,,,
1,127,4.617300034,postgres,,,,,
1,127,4.806200027,postgres,,,,,
1,127,4.994600058,postgres,,,,,
1,127,4.697999954,postgres,,,,,
1,127,5.022500038,postgres,,,,,
1,127,5.538800001,postgres,,,,,
1,127,5.308799982,postgres,,,,,
1,127,4.612599969,postgres,,,,,
1,127,4.766799927,postgres,,,,,
1,127,5.454300046,postgres,,,,,
1,127,5.319299936,postgres,,,,,
1,127,4.868499994,postgres,,,,,
1,127,4.422000051,postgres,,,,,
1,127,4.835200071,postgres,,,,,
1,127,4.699699998,postgres,,,,,
1,127,6.132399917,postgres,,,,,
1,127,6.042299986,postgres,,,,,
1,127,6.008000016,postgres,,,,,
1,127,5.321899891,postgres,,,,,
1,127,5.353999972,postgres,,,,,
1,127,4.735400081,postgres,,,,,
1,127,4.782099962,postgres,,,,,
1,127,5.35619998,postgres,,,,,
1,127,4.255399942,postgres,,,,,
1,127,4.349099994,postgres,,,,,
1,127,5.08949995,postgres,,,,,
1,127,4.918500066,postgres,,,,,
1,127,5.045700073,postgres,,,,,
1,127,4.99150002,postgres,,,,,
1,127,4.646199942,postgres,,,,,
1,127,4.782500029,postgres,,,,,
1,127,4.898100019,postgres,,,,,
1,127,4.995100021,postgres,,,,,
1,127,4.917100072,postgres,,,,,
1,127,5.834800005,postgres,,,,,
1,127,5.533200026,postgres,,,,,
1,127,4.766499996,postgres,,,,,
1,127,4.576900005,postgres,,,,,
1,127,5.136800051,postgres,,,,,
1,127,4.491899967,postgres,,,,,
1,127,4.519000053,postgres,,,,,
1,127,5.452100039,postgres,,,,,
1,127,4.722000003,postgres,,,,,
1,127,4.36740005,postgres,,,,,
1,127,4.239099979,postgres,,,,,
1,127,4.650700092,postgres,,,,,
1,127,5.422899961,postgres,,,,,
1,127,4.915199995,postgres,,,,,
1,127,4.41960001,postgres,,,,,
1,127,4.939800024,postgres,,,,,
1,127,4.514600039,postgres,,,,,
1,127,5.007300019,postgres,,,,,
1,127,5.503199935,postgres,,,,,
1,127,5.684399962,postgres,,,,,
1,127,5.575500011,postgres,,,,,
1,127,5.152200103,postgres,,,,,
1,127,5.528899908,postgres,,,,,
1,127,4.773899913,postgres,,,,,
1,127,4.763299942,postgres,,,,,
1,127,5.988600016,postgres,,,,,
1,127,4.993800044,postgres,,,,,
1,127,4.601500034,postgres,,,,,
1,127,4.520599961,postgres,,,,,
1,127,5.013599992,postgres,,,,,
1,127,5.106100082,postgres,,,,,
1,127,5.388000011,postgres,,,,,
1,127,5.639899969,postgres,,,,,
1,127,4.856600046,postgres,,,,,
1,127,5.101400018,postgres,,,,,
1,127,4.783300042,postgres,,,,,
1,127,5.559699893,postgres,,,,,
1,127,5.308000088,postgres,,,,,
1,127,5.110599995,postgres,,,,,
1,127,5.297600031,postgres,,,,,
1,127,5.053799987,postgres,,,,,
1,127,4.729500055,postgres,,,,,
1,127,5.161099911,postgres,,,,,
1,127,4.849799991,postgres,,,,,
1,127,5.298699975,postgres,,,,,
1,127,5.127300024,postgres,,,,,
1,127,5.020699978,postgres,,,,,
1,127,4.925799966,postgres,,,,,
1,127,5.625,postgres,,,,,
1,127,5.057799935,postgres,,,,,
1,127,4.950600028,postgres,,,,,
1,127,4.399000049,postgres,,,,,
1,127,4.593300104,postgres,,,,,
1,127,4.26910007,postgres,,,,,
1,127,4.770699978,postgres,,,,,
1,127,4.640100002,postgres,,,,,
1,127,4.883700013,postgres,,,,,
1,127,5.357300043,postgres,,,,,
1,127,5.176099896,postgres,,,,,
1,127,4.601899981,postgres,,,,,
1,127,4.483299971,postgres,,,,,
1,127,5.074000001,postgres,,,,,
1,127,4.696099997,postgres,,,,,
1,127,4.478899956,postgres,,,,,
1,127,5.118399978,postgres,,,,,
1,127,4.659100056,postgres,,,,,
1,127,5.244900107,postgres,,,,,
1,127,5.288700104,postgres,,,,,
1,127,5.35710001,postgres,,,,,
1,127,5.236799955,postgres,,,,,
1,127,4.931800008,postgres,,,,,
1,127,5.170899987,postgres,,,,,
1,127,5.222899914,postgres,,,,,
1,127,5.081200004,postgres,,,,,
1,127,5.473799944,postgres,,,,,
1,127,4.739400029,postgres,,,,,
1,127,4.57949996,postgres,,,,,
1,127,5.042999983,postgres,,,,,
1,127,4.880499959,postgres,,,,,
1,127,4.61559999,postgres,,,,,
1,127,4.673000097,postgres,,,,,
1,127,4.27639997,postgres,,,,,
1,127,5.001899958,postgres,,,,,
1,127,5.348700047,postgres,,,,,
1,127,4.738899946,postgres,,,,,
1,127,4.945000052,postgres,,,,,
1,127,4.734200001,postgres,,,,,
1,127,4.539900064,postgres,,,,,
1,127,5.005600095,postgres,,,,,
1,127,4.404299974,postgres,,,,,
1,127,4.715200067,postgres,,,,,
1,127,48.40499997,postgres,,,,,
1,127,5.688499928,postgres,,,,,
1,127,5.389100075,postgres,,,,,
1,127,5.302800059,postgres,,,,,
1,127,5.79489994,postgres,,,,,
1,127,5.060899973,postgres,,,,,
1,127,5.593500018,postgres,,,,,
1,127,5.016499996,postgres,,,,,
1,127,5.176500082,postgres,,,,,
1,127,6.435500026,postgres,,,,,
1,127,5.287199974,postgres,,,,,
1,127,4.432500005,postgres,,,,,
1,127,5.255699992,postgres,,,,,
1,127,5.227199912,postgres,,,,,
1,127,5.628299952,postgres,,,,,
1,127,5.597499967,postgres,,,,,
1,127,5.139000058,postgres,,,,,
1,127,5.566799998,postgres,,,,,
